Date,SELIC
1999-03-31,0.42
1999-04-30,0.32
1999-05-31,0.235
1999-06-30,0.21
1999-07-31,0.195
1999-08-31,0.195
1999-09-30,0.19
1999-10-31,0.19
1999-11-30,0.19
1999-12-31,0.19
2000-01-31,0.19
2000-02-29,0.19
2000-03-31,0.185
2000-04-30,0.185
2000-05-31,0.185
2000-06-30,0.175
2000-07-31,0.165
2000-08-31,0.165
2000-09-30,0.165
2000-10-31,0.165
2000-11-30,0.165
2000-12-31,0.1575
2001-01-31,0.1525
2001-02-28,0.1525
2001-03-31,0.1575
2001-04-30,0.1625
2001-05-31,0.1675
2001-06-30,0.1825
2001-07-31,0.19
2001-08-31,0.19
2001-09-30,0.19
2001-10-31,0.19
2001-11-30,0.19
2001-12-31,0.19
2002-01-31,0.19
2002-02-28,0.1875
2002-03-31,0.185
2002-04-30,0.185
2002-05-31,0.185
2002-06-30,0.185
2002-07-31,0.18
2002-08-31,0.18
2002-09-30,0.18
2002-10-31,0.21
2002-11-30,0.22
2002-12-31,0.25
2003-01-31,0.255
2003-02-28,0.265
2003-03-31,0.265
2003-04-30,0.265
2003-05-31,0.265
2003-06-30,0.26
2003-07-31,0.245
2003-08-31,0.22
2003-09-30,0.2
2003-10-31,0.19
2003-11-30,0.175
2003-12-31,0.165
2004-01-31,0.165
2004-02-29,0.165
2004-03-31,0.1625
2004-04-30,0.16
2004-05-31,0.16
2004-06-30,0.16
2004-07-31,0.16
2004-08-31,0.16
2004-09-30,0.1625
2004-10-31,0.1675
2004-11-30,0.1725
2004-12-31,0.1775
2005-01-31,0.1825
2005-02-28,0.1875
2005-03-31,0.1925
2005-04-30,0.195
2005-05-31,0.1975
2005-06-30,0.1975
2005-07-31,0.1975
2005-08-31,0.1975
2005-09-30,0.195
2005-10-31,0.19
2005-11-30,0.185
2005-12-31,0.18
2006-01-31,0.1725
2006-02-28,0.1725
2006-03-31,0.165
2006-04-30,0.1575
2006-05-31,0.1575
2006-06-30,0.1525
2006-07-31,0.1475
2006-08-31,0.1425
2006-09-30,0.1425
2006-10-31,0.1375
2006-11-30,0.1325
2006-12-31,0.1325
2007-01-31,0.13
2007-02-28,0.13
2007-03-31,0.1275
2007-04-30,0.125
2007-05-31,0.125
2007-06-30,0.12
2007-07-31,0.115
2007-08-31,0.115
2007-09-30,0.1125
2007-10-31,0.1125
2007-11-30,0.1125
2007-12-31,0.1125
2008-01-31,0.1125
2008-02-29,0.1125
2008-03-31,0.1125
2008-04-30,0.1175
2008-05-31,0.1175
2008-06-30,0.1225
2008-07-31,0.13
